Size,StdQuickSort Time,StdQuickSort Comparisons,StdMergeSort Time,StdMergeSort Comparisons,StringQuickSort Time,StringQuickSort Comparisons,StringMergeSort Time,StringMergeSort Comparisons,MSDRadixSort Time,MSDRadixSort Comparisons,HybridRadixQuick Time,HybridRadixQuick Comparisons
100,0.050625,556,0.044958,363,0.045625,1631,0.118125,720,0.464750,0,0.035167,1631
200,0.108459,1642,0.083916,811,0.077166,3680,0.252541,1606,0.861250,0,0.076750,3680
300,0.178291,2698,0.170708,1560,0.125083,6164,0.408333,2669,1.290250,0,0.181458,4107
400,0.258542,3984,0.226000,2179,0.184000,9208,0.571166,3635,1.754208,0,0.224417,5451
500,0.342584,5218,0.274542,2582,0.254416,12712,0.697791,4323,2.297167,0,0.287500,6995
600,0.323792,5140,0.329625,3225,0.325458,16617,0.888167,5658,2.568875,0,0.325958,8187
700,0.378458,6080,0.388208,3900,0.409209,21187,1.056209,6721,2.991875,0,0.379875,9613
800,0.485583,7552,0.454250,4692,0.504750,26436,1.242250,7923,3.533834,0,0.433875,10938
900,0.571083,9008,0.544083,5516,0.641333,32459,1.463375,9148,4.020375,0,0.510541,12437
1000,0.672791,10519,0.576333,5960,0.745709,38780,1.567000,9861,4.367792,0,0.535417,13661
1100,0.757458,11859,0.720208,7054,0.858875,46287,1.766666,11323,4.708541,0,0.594792,15100
1200,0.891083,13846,0.841292,7779,1.030167,54000,1.929875,12319,5.152833,0,0.677125,16570
1300,0.955792,14967,0.902667,8715,1.152708,62480,2.155542,13696,5.522042,0,0.698416,18009
1400,1.043417,16334,0.970833,9257,1.308958,71382,2.326042,14575,5.962042,0,0.745416,19425
1500,1.152167,17986,1.056625,10289,1.473250,80860,2.591166,15981,6.312541,0,0.816750,20850
1600,1.291125,19490,1.177958,11239,1.707208,90922,2.697292,17307,6.822292,0,0.857375,22403
1700,1.374292,21517,1.216250,12104,1.822917,101303,2.890042,18732,7.334959,0,0.914375,23927
1800,1.389209,21976,1.254792,12217,2.022667,113034,3.076625,19047,7.702750,0,0.965917,25400
1900,1.432042,23214,1.316542,12995,2.189958,122153,3.207250,20122,8.106792,0,1.031125,26748
2000,1.520292,24340,1.387958,13894,2.378958,133508,3.387250,21020,8.584791,0,1.061125,28016
2100,1.612458,25510,1.490292,14995,2.680083,144572,3.618917,22550,8.928750,0,1.127416,29396
2200,1.752917,27259,1.561250,15847,2.784458,155154,3.860500,24335,9.346041,0,1.174250,30765
2300,1.800417,28661,1.631500,16715,2.986708,167102,4.032625,25715,9.745708,0,1.225292,32243
2400,1.919125,31048,1.717709,17372,3.190791,179985,4.212334,27127,10.187791,0,1.287292,33854
2500,1.961333,30997,1.754333,17826,3.407042,192046,4.403917,28111,10.471792,0,1.340167,35257
2600,2.050584,32887,1.848375,18829,3.673333,204393,4.627209,29591,10.992667,0,1.385291,36793
2700,2.251750,35426,1.936292,19507,3.831042,216718,4.802167,30895,11.346291,0,1.444042,38330
2800,1.810250,29618,1.964875,19112,4.093791,229593,4.949375,30724,11.706792,0,1.508416,39580
2900,0.970416,17073,1.975292,19954,4.348042,243080,5.139792,32186,12.162708,0,1.523042,41088
3000,0.987042,17410,2.085041,20686,4.570542,257056,5.361958,33303,12.919208,0,1.659500,42657
