Size,StdQuickSort Time,StdQuickSort Comparisons,StdMergeSort Time,StdMergeSort Comparisons,StringQuickSort Time,StringQuickSort Comparisons,StringMergeSort Time,StringMergeSort Comparisons,MSDRadixSort Time,MSDRadixSort Comparisons,HybridRadixQuick Time,HybridRadixQuick Comparisons
100,0.072625,701,0.064333,547,0.046709,2577,0.210750,3283,0.683333,0,0.043166,2577
200,0.119583,1573,0.133875,1326,0.083542,4961,0.470541,7882,1.380083,0,0.083708,4961
300,0.185584,2465,0.226958,2111,0.135542,8026,0.791917,13064,1.892208,0,0.476958,987
400,0.274250,3638,0.315833,2979,0.190875,11080,1.069583,18422,2.134541,0,0.571125,1612
500,0.372083,4541,0.404292,3888,0.235042,13802,1.402958,24134,2.356625,0,0.675542,2330
600,0.435584,5728,0.498875,4850,0.288375,17050,1.744333,30167,2.701333,0,0.864834,3052
700,0.534375,7014,0.594042,5869,0.351958,20760,2.082250,36182,2.947250,0,0.955250,3852
800,0.602541,7834,0.690834,6885,0.405792,23603,2.427833,42351,3.275958,0,1.049833,4665
900,0.687792,9081,0.796125,7966,0.474375,27888,2.756709,48743,3.571458,0,1.162417,5515
1000,0.795916,10692,0.912416,9179,0.514209,30264,3.145208,55146,3.884125,0,1.258792,6374
1100,0.893666,11987,1.022292,9901,0.563917,32650,3.456667,61786,4.517625,0,1.528333,7308
1200,0.980000,12892,1.135125,10808,0.682542,40196,3.829083,68634,4.768542,0,1.611125,8404
1300,1.045625,13672,1.241292,11857,0.694917,39738,4.188792,75325,5.187875,0,1.783708,9299
1400,1.199292,15496,1.404042,12914,0.768542,44516,4.553750,82195,5.723167,0,1.827875,10283
1500,1.281583,16918,1.454916,14008,0.797042,46206,5.012500,88996,6.131125,0,1.913625,11316
1600,1.359958,18256,1.563458,15075,0.872208,50973,5.319625,95932,6.593292,0,2.039500,12358
1700,1.446875,19349,1.668125,16155,0.943708,54815,5.704250,102924,6.959042,0,2.117041,13475
1800,1.523875,20376,1.774875,17285,0.993583,57133,6.094792,110049,7.442583,0,2.238375,14633
1900,1.637792,22070,1.891625,18379,1.093291,63155,6.425500,116972,8.095583,0,2.344167,15780
2000,1.824833,24112,2.029166,19554,1.144833,66338,6.828792,124355,8.517209,0,2.425000,17024
2100,1.842333,24921,2.112167,20654,1.172125,68104,7.229875,131436,9.379000,0,2.871333,18022
2200,1.974250,26827,2.223709,21858,1.259625,73205,7.597625,139058,9.998250,0,2.999291,19245
2300,2.096292,28538,2.335792,23014,1.288250,74739,8.027208,146321,10.469958,0,3.071458,20747
2400,2.154708,29267,2.443542,24191,1.403083,80793,8.393667,153866,11.251792,0,3.205542,22170
2500,2.252875,30427,2.591042,25376,1.482791,85286,8.860958,161311,11.740709,0,3.273000,23557
2600,2.357333,31907,2.692000,26646,1.557167,90147,9.250417,169108,12.238625,0,3.385292,24796
2700,2.438792,32812,2.798833,27778,1.589125,92027,9.703084,176355,12.924041,0,3.545292,25996
2800,2.725500,36291,3.062709,29047,1.704125,96503,10.308542,184029,13.726667,0,3.729834,27124
2900,2.732792,35159,3.120292,30262,1.785042,99107,10.844833,191480,13.989750,0,3.838291,28384
3000,2.801625,38076,3.166041,31588,1.810167,104176,10.844458,199249,14.754458,0,3.780417,29522
