Size,StdQuickSort Time,StdQuickSort Comparisons,StdMergeSort Time,StdMergeSort Comparisons,StringQuickSort Time,StringQuickSort Comparisons,StringMergeSort Time,StringMergeSort Comparisons,MSDRadixSort Time,MSDRadixSort Comparisons,HybridRadixQuick Time,HybridRadixQuick Comparisons
100,0.058458,660,0.068459,549,0.041083,1557,0.146292,594,0.634667,0,0.039625,1557
200,0.137042,1634,0.152792,1345,0.086333,3437,0.325125,1496,1.311459,0,0.086666,3437
300,0.234583,2819,0.255792,2102,0.125083,4946,0.508500,2515,1.753833,0,0.179417,1004
400,0.287375,3543,0.325958,2984,0.171958,7676,0.665458,3649,1.654417,0,0.198041,1581
500,0.378292,4773,0.430334,3890,0.219750,9622,0.852292,4823,1.941250,0,0.245041,2276
600,0.430583,5658,0.505875,4845,0.250125,11427,1.014667,6073,2.109167,0,0.286583,3044
700,0.638333,7233,0.686125,5878,0.323583,14741,1.269542,7391,2.324542,0,0.323250,3830
800,0.609792,8184,0.704541,6946,0.374000,17556,1.409541,8758,2.591583,0,0.370334,4653
900,0.725750,9772,0.799375,7993,0.410333,18936,1.655083,10162,2.815583,0,0.410750,5567
1000,0.796833,10491,0.903792,9057,0.448125,21086,1.849459,11560,3.088541,0,0.465583,6554
1100,0.887042,11871,1.033541,9968,0.493625,22942,2.032084,12966,3.472625,0,0.510208,7501
1200,0.969208,12895,1.136500,10766,0.556708,25900,2.256958,14526,3.937500,0,0.552500,8516
1300,1.044917,13915,1.239459,11819,0.615958,28669,2.455708,16060,4.310417,0,0.593584,9549
1400,1.205375,15949,1.352709,12892,0.663375,31561,2.733917,17618,4.611542,0,0.645291,10589
1500,1.281834,17212,1.458083,13936,0.729875,33620,2.899416,19145,5.135708,0,0.679709,11523
1600,1.361458,18087,1.571791,15089,0.739333,34055,3.110500,20696,5.645209,0,0.757709,12632
1700,1.495542,20133,1.673500,16146,0.838125,39004,3.351167,22354,5.949875,0,0.803750,13745
1800,1.577041,21277,1.789167,17307,0.937542,45457,3.561334,23938,6.506458,0,0.814083,14885
1900,1.767334,23372,1.894875,18433,0.929416,43384,3.786042,25546,6.854959,0,0.860500,16001
2000,1.795708,23465,1.997500,19507,0.971583,45170,4.005875,27174,7.409041,0,0.961750,17163
2100,1.849458,24434,2.117583,20601,1.079500,51195,4.212042,28822,8.025084,0,0.957458,18422
2200,1.938708,25753,2.240209,21829,1.105292,52238,4.455916,30507,8.538084,0,1.004875,19569
2300,2.134875,27760,2.354167,23070,1.131875,53226,4.678459,32249,8.999708,0,1.088375,20574
2400,2.134833,28692,2.477083,24177,1.363916,62187,4.970958,34038,9.401417,0,1.139834,21969
2500,2.333791,30878,2.583417,25380,1.267833,59114,5.118375,35712,9.768042,0,1.168792,23478
2600,2.368583,31577,2.693500,26553,1.342625,61918,5.647917,37401,10.345500,0,1.240666,24878
2700,2.442166,32977,2.824167,27906,1.364791,63584,5.690875,39142,10.928416,0,1.280375,26176
2800,2.571666,34563,2.944375,29038,1.447792,67075,5.908291,40933,11.424083,0,1.340208,27635
2900,2.670208,35417,3.094584,30224,1.573750,74847,6.116500,42653,11.984000,0,1.420041,29105
3000,2.793209,37426,3.235417,31554,1.597083,73736,6.410542,44389,12.666500,0,1.422542,30010
