Size,StdQuickSort Time,StdQuickSort Comparisons,StdMergeSort Time,StdMergeSort Comparisons,StringQuickSort Time,StringQuickSort Comparisons,StringMergeSort Time,StringMergeSort Comparisons,MSDRadixSort Time,MSDRadixSort Comparisons,HybridRadixQuick Time,HybridRadixQuick Comparisons
100,0.021167,302,0.046750,364,0.053708,2690,0.122291,592,0.462833,0,0.051583,2690
200,0.038375,602,0.111500,1036,0.097667,5163,0.244125,1298,0.914916,0,0.097916,5163
300,0.054584,902,0.153041,1308,0.177375,9660,0.385167,2085,1.375542,0,0.245792,8927
400,0.076042,1202,0.215500,1856,0.239000,12788,0.530708,2833,1.900542,0,0.333125,12706
500,0.093458,1502,0.282625,2504,0.325042,17789,0.683625,3740,2.336208,0,0.416917,15922
600,0.115167,1802,0.358375,3260,0.425250,23309,0.878375,4495,2.771542,0,0.496583,19187
700,0.131000,2102,0.439416,4068,0.524958,28621,1.002625,5158,3.171250,0,0.585584,22513
800,0.150292,2402,0.528083,4944,0.644541,34469,1.169667,6085,3.658708,0,0.669459,26403
900,0.169458,2702,0.617833,5876,0.766542,42298,1.327208,6990,4.025375,0,0.752666,29798
1000,0.241792,4011,0.741208,6948,0.889875,48356,1.487000,8038,4.359375,0,0.834250,32925
1100,0.271750,4411,0.729291,6564,0.988458,54759,1.658000,8749,4.732666,0,0.941459,36110
1200,0.293375,4811,0.739792,6432,1.144875,63894,1.810625,9444,5.127000,0,0.998917,39182
1300,0.315959,5211,0.825750,7072,1.295292,71809,1.981875,10403,6.295542,0,1.376292,42757
1400,0.662958,5611,1.411625,7708,1.787958,79360,3.219667,11103,10.492708,0,1.238458,46405
1500,0.376875,6011,1.023167,8288,1.845250,89677,2.460083,12202,7.988083,0,1.409083,49137
1600,0.426458,6411,1.110417,9024,1.940917,100692,2.741833,13059,9.166917,0,2.126208,51863
1700,0.437125,6811,1.203083,9844,2.144959,111994,2.892667,13928,7.755959,0,1.468167,55427
1800,0.449750,7211,1.239542,10572,2.239583,120941,3.126916,14901,8.131708,0,1.561542,58508
1900,0.489375,7611,1.487125,11336,2.494500,132640,3.205709,15903,8.521708,0,1.698750,61932
2000,0.503208,8013,1.393125,12016,2.701750,145608,3.613500,17072,9.233584,0,1.771750,65183
2100,0.550834,8415,1.526084,12824,3.047083,157197,3.642166,17923,9.705291,0,1.974084,68395
2200,0.599208,8815,1.586334,13740,3.148458,169050,3.815458,18647,9.839584,0,1.962959,71686
2300,0.577542,9215,1.672542,14568,3.429000,185040,3.991542,19466,10.268417,0,1.936666,74677
2400,0.617291,9615,1.703708,15440,3.520791,198091,4.001583,20138,10.349625,0,1.976625,77375
2500,0.594000,10015,1.806583,16228,3.806709,213758,4.166208,21078,11.075458,0,2.115375,80989
2600,0.639583,10415,1.887375,17100,4.059166,227105,4.505875,22087,11.287792,0,2.272917,83905
2700,0.695583,10815,2.061709,18120,4.476417,242887,4.527542,22815,11.498166,0,2.216792,87109
2800,0.673000,11215,2.114458,19072,4.616458,259420,4.754292,23663,12.003875,0,2.320458,90239
2900,0.717208,11615,2.159083,20040,4.932292,273458,4.892750,24700,12.759458,0,2.369750,93137
3000,0.721459,12015,2.302500,20932,5.199292,292210,5.122417,25810,12.795625,0,2.455500,96668
